,Country,Acs_Water_Service,BMI18,BMI25,BMI30,Diab,Hyp_Ten,Insuf_Phy,N_HDL_Chol,PM2.5,R_Bld_P,Alc_pcgmp,Male.Life.Exp,Female.Life.Exp,Hep83,MCV1,Pol3,DTP3,HIV,PCGMP,Pop,EduAvg,P_Ciga,Tax_Ciga,HDL_Chol,Cal_Daily,Isc_Stroke_Death,Hae_Stroke_Death,Cancer_Death,Res_Dis_Death
1,Afghanistan,73.78,7.43,43.77,16.21,22.88,40.2,31.5,3.1,62.49,34.57,0.013,60.04,62.55,65,57,71,65,0.06,497.7414313,37769499,5.69,0.39,0.21,1.1,2228.0002,10275.43,10189.37,NA,18392.65
2,Albania,94.76,1.54,60.93,21.42,9.74,41.8,23.31,3.6,16.28,38.25,4.38,76.17,79.87,99,95,99,99,0.05,5396.214243,2854191,10.32,2.37,0.67,1.4,3374.9963,3165.94,7196.36,NA,858.66
3,Algeria,94.24,4.8,55.58,22.28,17.87,36.2,28.14,3.3,22.68,30.44,0.57,76.24,77.08,88,80,88,88,0.08,4530.101745,42705368,8.18,2.34,0.35,1.1,3478,16764.51,6358.72,NA,6455.43
4,Andorra,100,3.01,48.13,17.56,7.18,31,28.13,3.6,8.52,20.79,11.06,NA,NA,98,99,99,99,NA,41328.6005,76343,NA,4.32,0.78,1.4,NA,23.32,10.97,NA,11.46
5,Angola,56.88,10.21,30.22,10.43,17.32,38.7,17.63,2.8,27.16,34.28,5.28,60.33,64.65,57,51,56,57,0.87,2191.347764,32353588,NA,1.56,0.12,1.2,2426.9998,4768.88,8400.8,NA,26044.72
6,Antigua and Barbuda,98.37,4.96,60.96,31.24,19.3,42.6,36.9,3.5,8.3,32.78,11.24,74.05,77.07,99,93,95,95,NA,18730.0048,92117,NA,5.22,0.13,1.1,2454.8135,33.93,32.23,109.972145,27.15
7,Armenia,99.93,3.09,54.07,23.24,10.94,47.3,25.9,3.2,34.13,43.15,4.08,70.82,79.79,92,95,94,92,0.35,4828.504886,2820602,10.54,1.44,0.44,1.1,3229.9956,1632.05,498.24,126.19673,1497.83
8,Australia,99.97,1.75,63,28.8,7.27,29.3,25.59,3.2,8.93,21.69,9.5,80.72,84.57,95,94,95,95,0.06,55049.57192,25334826,12.93,21.13,0.74,1.5,3504.0002,6454.82,3955.51,102.62302,4693.75
9,Austria,100,2.49,44.8,14.9,5.03,33.8,21.31,3.6,11.51,24.64,11.7,79.45,83.78,85,95,85,85,NA,50067.58573,8879920,10.39,6.75,0.75,1.5,3814.0007,3299.5,1811.17,103.612495,1537.81
10,Azerbaijan,95.67,2.52,60.28,24.99,12.62,41,23.45,3.3,24.64,35.33,0.88,73.38,78.09,94,98,96,94,0.09,4805.753718,10024283,NA,1.06,0.5,1.1,3268.9966,2138.28,3803.48,NA,1064.34
11,Bahrain,99.92,3.29,67.65,34.91,20.91,38.7,37.6,3.3,51.82,31.34,1.45,75.39,76.86,99,99,99,99,NA,25869.11291,1494188,8.21,6.12,0.72,1.2,3481.9883,235.22,154.53,NA,110.47
12,Bangladesh,97.83,15.9,23.44,4.32,17.11,28.8,20.33,3.1,45.99,24.58,0.004,72.64,75.26,98,97,98,98,0.01,2122.037652,165516222,7.23,1.12,0.73,1.1,2513,55397.89,73607.87,NA,29173
13,Barbados,98.51,3.51,65.81,35.82,21.67,41.8,42.8,3.3,9.79,27.71,10.03,74.33,77.61,90,92,91,90,0.46,19156.03987,280180,9.67,NA,NA,1,3136.8545,192.92,116.3,NA,128.26
14,Belarus,98.39,2.65,54.91,21.27,6.87,49.2,14.46,3.2,15.48,44.17,10.14,69.73,79.66,97,98,98,98,0.26,6837.768321,9419758,NA,0.52,0.56,1.4,3291.9995,12518.33,3453.11,NA,867.85
15,Belgium,100,2.18,51.01,19.25,5.91,30,28.01,3.1,11.26,18.62,9.22,79.5,83.66,97,96,98,97,0.08,46641.7214,11488980,11.57,8.06,0.77,1.5,3849.0005,4388.36,2647.53,103.05496,6139.25
16,Belize,98.4,2.29,71.16,40.12,17.78,38,40.26,3.4,10.51,29.85,5.93,72.55,77.38,98,96,98,98,0.66,6134.215233,389095,10.71,2.75,0.35,1.2,2864.978,51.07,68.33,NA,81.44
17,Benin,66.67,8.93,28.53,10.05,10.3,31.2,17.56,3,31.51,28.27,5.19,61.76,66.58,72,58,69,72,0.19,1170.885995,12290444,6.27,0.9,0.1,1.1,2686.9995,2984.92,4176.5,NA,10304.48
18,Bhutan,98.87,3.76,42.84,10.45,14.95,43.4,9.95,3,26.1,39.62,0.066,72.87,75.13,97,97,97,97,0.11,3564.598771,767459,NA,4.81,0.08,1.1,3248.9705,171,164.63,NA,134.86
19,Bolivia (Plurinational State of),92.57,1.83,62.26,26.02,15.62,28.3,22.24,3.3,25.23,20.87,2.98,72.03,73.79,75,79,75,75,NA,NA,NA,NA,1.74,0.36,NA,NA,NA,NA,NA,NA
20,Bosnia and Herzegovina,96.12,2.57,55.87,19.86,12.01,44.2,19.88,3.3,26.19,36.92,5.33,74.64,79.56,80,65,74,73,NA,6094.724823,3360711,NA,3.6,0.84,1.3,3341.992,6083.02,1310.34,125.241776,448.72
21,Botswana,92.22,12.65,40.48,17.07,8.52,44.1,22.89,2.7,12.82,35.78,7.43,62.74,66.95,95,97,96,95,4.93,6691.160846,2499702,10.58,4.31,0.52,1.3,2574.9949,486.05,613.97,NA,1172.5
22,Brazil,98.94,2.97,59.91,25.23,11.71,45,39.01,3.4,10.94,30,6.32,72.22,78.73,72,91,85,70,0.38,8845.324149,211782878,8,1.01,0.82,1.2,3281,67588.9,50549.1,95.16179,90075.55
23,Brunei Darussalam,99.9,4.27,66.09,29.13,17.78,46.4,31.56,3.8,6.86,32.46,0.66,75.25,78.16,99,97,99,99,NA,30748.30924,438048,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Bulgaria,99.14,3.71,51.39,19.66,9.69,45.2,30.36,3.6,17.29,34.87,11.39,71.52,78.62,93,95,93,93,0.07,9874.336326,6975761,10.75,3.03,0.85,1.4,2870.9976,18961.96,5114.67,123.41203,1676.06
25,Burkina Faso,49,13.25,19.37,5.61,10.08,30.5,16.7,2.6,40.74,27.78,7.22,60.08,65.06,91,88,91,91,0.12,765.2295604,20951639,NA,1.35,0.44,1,2629.0002,2471.4,5406.16,NA,18391.66
26,Burundi,62.09,17.4,15,4.22,8.19,34.2,14.31,2.8,28,30.3,3.1,62.37,66.23,93,92,93,93,0.17,216.9729709,11874838,5.05,1.04,0.37,1,1780.0002,1370.39,3427.87,NA,7400.06
27,Cabo Verde,88.59,5.28,44.09,14.19,8.85,44.1,29.71,2.8,31.08,37.88,5.47,69.71,78.23,96,98,97,96,0.67,3903.050317,577030,NA,2.66,0.19,NA,NA,NA,NA,NA,NA
28,Cambodia,75.34,12.52,22.05,3.59,8.75,25.7,13.18,3.3,17.8,20.01,4.5,66.87,72.16,88,87,89,88,0.15,1671.3854,16207746,5.81,0.51,0.26,1.1,2812.0007,5451.73,11744.67,NA,9787.99
29,Cameroon,67.99,6.65,38.07,13.77,14.84,36.8,19.26,2.9,56.37,33.97,4.05,60.08,64.06,67,61,68,67,0.89,1538.563063,25782341,7.37,1.26,0.43,1.1,2832.9998,5319.67,8595.67,NA,21380.14
30,Canada,99.22,1.95,59.01,25.72,6.53,22.1,35.58,3.2,6.39,8.69,8.08,80.12,83.9,84,90,92,91,0.1,46352.86934,37618495,12.93,9.59,0.62,1.4,3580.9995,8768.11,5540.42,104.03259,7188.97
31,Central African Republic,38.21,20.88,21.83,8.06,18.2,41.3,16.58,2.8,27.2,38.97,1.44,50.31,55.89,42,41,46,42,2.88,426.4087531,5209324,4.64,NA,NA,1.1,1853.9967,794.13,2212.42,NA,5762.05
32,Chad,50.5,16.02,19.77,5.85,10.31,37.9,18.27,2.8,41.15,33.73,0.53,57.84,60.94,50,40,46,50,0.45,701.621201,16126866,NA,0.9,0.52,1,2299.0002,2496.36,4510.92,NA,22168.99
33,Chile,100,0.76,76.21,35.99,12.96,36.1,35.8,3.4,20.49,23.89,6.39,78.66,83.34,96,95,96,96,0.44,14616.20725,19039485,10.74,4.03,0.8,1.2,3048.001,5896.51,3752.56,101.52537,6185.11
34,China,95.32,5.24,34.58,6.9,9.94,27.3,23.03,3.3,38.15,23.01,4.78,74.58,80.36,99,99,99,99,NA,10143.86022,1407745000,8.99,2.19,0.54,1.3,3303.9998,1095123.2,1330990.8,NA,201526.34
35,Colombia,96.89,2.89,58.02,21.97,11.75,31,33.22,3.7,14.04,20.8,4.19,75.33,80.55,92,95,94,94,0.34,6436.509215,50187406,10.2,1.38,0.73,1,3046.0005,8535.05,8026.49,83.612274,9895.24
36,Congo,73.6,13.74,23.78,8.11,12.28,39.8,16.43,2.8,29.48,36.04,5.6,62.43,63.08,79,73,78,79,NA,NA,NA,6.74,1.35,0.27,1.2,2141.9978,906.42,1479.41,NA,2391.88
37,Cook Islands,99.97,0.49,87.7,67.05,28.54,42.6,28.96,3.7,7.8,35.53,12.6,NA,NA,98,99,98,98,NA,NA,NA,NA,NA,NA,1.1,NA,3.95,7.68,NA,6.13
38,Costa Rica,99.8,2.39,65.47,29.38,21.2,37.8,48.64,3.7,14.7,18.98,3.19,77.93,82.71,94,95,96,95,0.27,12669.34115,5084532,9.12,3.76,0.54,1,3020.0017,1017.02,628.08,95.92034,845.99
39,Cote d'Ivoire,72.54,8.07,32.63,10.36,10.3,37.3,20.05,2.8,40.41,34.04,1.93,61.19,66.19,79,71,79,79,0.61,2309.313583,26147551,6.05,1.26,0.35,1.1,2845.0007,5166.06,6529.98,NA,17692.21
